EAST,NORTH,Cu
7.158181818,142.1993939,0.456
40.71242424,156.7842424,1.082
35.87060606,196.5818182,0.572
95.20424242,45.67333333,0.538
22.59818182,118.3487879,0.234
128.3506061,75.97636364,0.524
179.8,5.418181818,0.296
67.24727273,225.990303,0.57
43.10848485,197.9539394,0.744
193.0627273,195.7963636,0.258
19.40666667,125.3875758,0.462
67.57545455,187.7436364,0.836
9.693636364,136.6618182,0.378
185.7054545,195.9654545,0.374
174.8587879,4.901212121,0.262
152.2509091,186.0733333,0.272
148.4630303,38.88272727,0.422
150.5409091,199.3457576,0.296
89.53727273,137.1090909,0.96
12.5369697,205.7781818,0.538
113.5966667,15.55909091,0.56
32.80848485,128.4,0.418
428.08,211.4948485,0.442
391.4142424,226.6960606,0.572
30.26333333,134.6039394,0.588
401.8136364,234.520303,1.012
170.7627273,128.7181818,0.472
102.6406061,219.2893939,0.6
118.0406061,233.0987879,0.67
159.5184848,100.3042424,0.29
482.8006061,171.9657576,0.326
27.63878788,124.1051515,0.414
102.819697,230.8815152,1.398
26.14727273,98.61393939,0.28
22.65787879,174.2921212,0.682
84.91424242,143.2633333,0.58
127.7739394,109.520303,0.576
31.67515152,169.4206061,0.566
153.1657576,119.6612121,0.67
106.4384848,213.1848485,0.584
29.18969697,174.9581818,0.452
180.4263636,199.3954545,0.274
62.34606061,139.8036364,0.352
154.3287879,53.09969697,0.458
500.1890909,247.4151515,0.322
165.4042424,114.4218182,0.644
197.8048485,189.4236364,0.458
88.5230303,203.9090909,0.778
51.73787879,223.6339394,1.968
49.75939394,106.3787879,0.742
161,8.043030303,0.156
462.9763636,176.4593939,0.21
134.0175758,220.3333333,0.316
65.70636364,113.6463636,0.668
47.87060606,94.62727273,0.47
32.0430303,162.66,1.062
156.0587879,126.69,0.51
118.0209091,154.7363636,0.382
454.3566667,221.4069697,0.224
6.442424242,166.1693939,0.376
142.0506061,58.08060606,0.328
489.0839394,173.3375758,0.366
182.5342424,188.4393939,0.206
19.86424242,210.580303,0.954
17.37848485,118.5475758,0.24
440.9351515,240.9330303,0.55
472.2621212,163.6739394,0.24
119.5718182,54.8,0.774
131.3530303,169.8978788,0.576
147.5881818,192.4660606,0.176
124.9306061,189.1454545,0.296
58.99545455,166.2590909,0.498
179.4521212,182.0169697,0.34
24.20878788,103.6942424,0.188
463.1054545,209.4069697,0.23
26.81363636,154.4778788,0.51
15.32060606,151.4257576,1.12
108.0093939,231.8460606,0.544
31.03878788,202.5966667,0.648
133.7590909,0,0.606
467.420303,169.8678788,0.306
149.2484848,179.1933333,0.202
152.8175758,32.91757576,0.376
466.8636364,156.5854545,0.226
108.3175758,200.0615152,0.69
89.80575758,35.37333333,0.326
532.0827273,232.9593939,0.666
178.7760606,210.4112121,0.366
96.90424242,218.5236364,0.968
109.3615152,133.6393939,0.758
163.2963636,128.0024242,0.408
70.50818182,221.5660606,1.07
184.4727273,175.4751515,0.434
100.7715152,226.03,1.036
100.4733333,59.22393939,0.426
492.7027273,246.4806061,0.336
99.49909091,178.7957576,0.592
168.2175758,121.3909091,0.49
460.3018182,202.1593939,0.3
339.4975758,88.96030303,0.144
262.4472727,79.63484848,0.266
293.7942424,45.84212121,0.19
352.78,89.90484848,0.096
280.4521212,21.57393939,0.168
75.49909091,155.4721212,0.402
115.9727273,228.2072727,0.502
341.3566667,118.7066667,0.2
358.2281818,98.87242424,0.066
309.96,141.1357576,0.088
313.7478788,52.62272727,0.026
341.6448485,103.7639394,0.108
267.0009091,20.81848485,0.324
345.6415152,86.02757576,0.04
285.0354545,33.98151515,0.182
323.1627273,64.35424242,0.064
273.3239394,24.28818182,0.418
353.1975758,99.12121212,0.134
192.5357576,125.1590909,0.212
211.1866667,156.8836364,0.542
186.9184848,126.1433333,0.162
297.8506061,245.4266667,0.302
241.2809091,118.7166667,0.26
233.7351515,151.0775758,0.296
167.750303,94.37878788,0.362
191.6509091,107.7706061,0.162
184.0451515,224.8469697,0.288
300.7339394,221.1484848,0.332
206.0866667,189.3442424,0.29
206.1263636,48.54636364,0.166
199.1669697,202.8751515,0.196
262.039697,166.09,0.49
197.3972727,167.829697,0.29
220.5521212,56.92757576,0.142
186.2821212,230.1457576,0.314
214.8651515,176.9566667,0.266
238.4972727,198.1727273,0.324
243.4581818,191.6806061,0.198
276.7539394,199.7136364,0.212
229.0227273,124.5127273,0.3
185.0990909,107.5618182,0.182
218.6630303,141.5633333,0.556
263.5409091,152.9269697,0.214
242.9015152,138.5209091,0.398
192.8339394,89.48727273,0.08
215.819697,48.39727273,0.11
270.8184848,186.2921212,0.336
175.3163636,95.3630303,0.408
232.2836364,64.21484848,0.336
206.1063636,82.10060606,0.118
238.7160606,78.80969697,0.322
202.9748485,217.5793939,0.312
205.7881818,115.3860606,0.184
281.2675758,240.1075758,0.266
201.1154545,140.340303,0.252
285.4630303,219.9157576,0.296
231.5875758,164.5987879,0.368
215.5512121,65.26878788,0.326
245.4566667,145.490303,0.21
239.3324242,164.6184848,0.252
192.3866667,142.2193939,0.134
160.1151515,14.59484848,0.26
268.0248485,179.6509091,0.208
240.8336364,151.6842424,0.294
199.4851515,224.6381818,0.29
205.7684848,181.1521212,0.322
304.6012121,241.2609091,0.456
225.6721212,50.05757576,0.2
303.7163636,227.6106061,0.298
191.730303,160.4330303,0.2
206.3151515,132.7545455,0.282
237.4336364,178.1693939,0.252
179.0942424,128.5690909,0.22
170.9915152,101.6163636,0.264
196.3930303,82.16,0.158
184.4827273,158.2954545,0.14
200.6581818,161.6360606,0.162
195.6872727,229.410303,0.454
210.9281818,40.09575758,0.182
198.1330303,29.6369697,0.254
223.9521212,132.2575758,0.37
286.0793939,187.0872727,0.238
191.6806061,224.9760606,0.382
229.7484848,57.31515152,0.208
289.9866667,213.6921212,0.236
189.6624242,82.65727273,0.132
256.4227273,152.4993939,0.218
188.310303,98.85272727,0.072
209.4072727,196.1742424,0.38
303.169697,245.5557576,0.318
265.5293939,139.9427273,0.222
215.3424242,115.5948485,0.3
299.1630303,233.9736364,0.252
216.1178788,164.0021212,0.42
205.9075758,148.8806061,0.268
195.0809091,217.5793939,0.452
307.0269697,234.2718182,0.276
293.1678788,244.4921212,0.28
207.3790909,33.47454545,0.208
234.540303,171.3293939,0.21
229.3606061,71.99939394,0.192
231.17,78.41212121,0.304
208.94,163.4951515,0.23
242.0466667,171.8463636,0.206
180.0584848,229.7781818,0.384
259.2360606,159.4687879,0.474
262.3081818,133.1524242,0.266
223.5048485,41.89515152,0.128
296.9260606,241.0324242,0.324
201.6824242,173.7254545,0.342
247.5542424,132.2178788,0.294
198.4115152,147.8563636,0.308
225.2845455,184.1942424,0.19
206.4842424,210.3018182,0.374
228.6945455,157.8778788,0.282
212.35,55.65484848,0.268
185.9045455,89.91484848,0.188
235.0075758,138.1133333,0.25
215.5909091,98.87242424,0.172
179.869697,112.1748485,0.224
242.4442424,205.2612121,0.346
274.3281818,160.1048485,0.22
173.1487879,81.17575758,0.482
179.9890909,89.30848485,0.296
236.32,158.2160606,0.298
181.589697,96.68515152,0.22
225.9306061,117.3445455,0.274
257.9139394,139.4654545,0.174
259.5245455,126.5409091,0.324
272.5981818,173.3275758,0.498
264.7836364,172.93,0.344
180.1281818,149.2184848,0.178
211.1172727,203.3921212,0.428
236.0912121,72.08909091,0.492
288.8730303,193.8278788,0.364
98.89242424,212.0912121,0.748
87.13121212,96.95363636,0.522
122.2560606,181.8478788,0.296
308.210303,245.7448485,0.252
237.8609091,145.1821212,0.35
189.8712121,116.360303,0.216
190.9848485,229.3206061,0.422
268.3827273,146.5539394,0.276
280.1639394,173.6360606,0.236
297.7412121,214.3084848,0.408
284.1606061,200.32,0.364
202.7063636,39.52909091,0.194
204.2472727,203.4718182,0.386
223.8330303,64.5330303,0.17
287.9284848,227.2030303,0.354
291.8954545,200.7575758,0.342
197.5960606,116.390303,0.232
205.7584848,98.53454545,0.288
246.6,219.7069697,0.552
203.4121212,155.859697,0.3
281.2078788,193.5893939,0.192
201.0360606,229.6687879,0.634
275.4712121,179.9987879,0.284
229.5793939,143.780303,0.384
220.3433333,157.3709091,0.372
248.7972727,118.9651515,0.36
192.0584848,72.91424242,0.13
210.5009091,107.2436364,0.224
196.1645455,98.61393939,0.144
215.9090909,196.949697,0.23
175.6145455,155.2136364,0.166
282.520303,213.3836364,0.498
211.5845455,183.0409091,0.362
233.8045455,118.13,0.24
231.8560606,132.5260606,0.338
181.3609091,82.04090909,0.19
203.5315152,197.2975758,0.196
173.4272727,88.5230303,0.328
220.7906061,190.3481818,0.434
283.8424242,233.5857576,0.302
222.61,177.0957576,0.196
253.410303,112.8409091,0.226
256.4524242,119.6612121,0.294
235.8727273,191.1933333,0.362
226.9348485,170.7230303,0.394
208.1148485,175.1372727,0.512
260.7869697,146.2260606,0.348
287.5012121,206.9115152,0.366
200.9763636,107.0945455,0.292
219.3290909,170.8521212,0.42
283.2460606,180.2075758,0.278
176.9069697,121.599697,0.204
199.7933333,210.8187879,0.32
238.5469697,111.9063636,0.38
273.7812121,193.0227273,0.28
192.4660606,210.3912121,0.242
294.8481818,207.5278788,0.25
215.730303,36.98393939,0.174
244.8006061,125.5566667,0.254
289.8672727,240.6445455,0.26
293.0684848,220.929697,0.262
181.4106061,136.6915152,0.184
277.3306061,166.8554545,0.392
247.7333333,99.04151515,0.252
245.7648485,112.5327273,0.284
248.5884848,152.1215152,0.19
291.6072727,233.5360606,0.354
210.8984848,90.50151515,0.228
211.2960606,124.0554545,0.182
187.5745455,217.7681818,0.246
227.1733333,105.3048485,0.352
196.2142424,132.2375758,0.132
210.8187879,140.5093939,0.268
195.3293939,154.5175758,0.198
217.5,183.3890909,0.42
287.739697,244.889697,0.424
229.8775758,177.6127273,0.164
241.8975758,85.48060606,0.306
253.3206061,145.8084848,0.154
173.7554545,114.9884848,0.148
110.4551515,153.4936364,0.37
135.5384848,197.0093939,0.204
394.0090909,213.4433333,0.45
228.1775758,190.9448485,0.264
279.5175758,206.7027273,0.412
202.3581818,124.4730303,0.276
296.0412121,227.2230303,0.53
251.1236364,224.5884848,0.362
244.3630303,213.0357576,0.244
